         328516 function calls (321470 primitive calls) in 14.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.001    0.000    0.275    0.003 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\backends\backend_tkagg.py:13(blit)
      102    0.001    0.000    0.004    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\backends\backend_agg.py:393(get_renderer)
     2091    0.001    0.000    0.047    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\_asarray.py:16(asarray)
      674    0.001    0.000    0.007    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:1748(frozen)
     2343    0.001    0.000    0.002    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:178(<lambda>)
       96    0.001    0.000    0.023    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\text.py:270(_get_layout)
     1305    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       12    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      100    0.001    0.000    0.022    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\animation.py:1238(_blit_clear)
      418    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     3640    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      824    0.001    0.000    0.006    0.000 <__array_function__ internals>:2(empty_like)
      119    0.001    0.000    0.039    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\backend_bases.py:1430(__init__)
     5597    0.001    0.000    0.001    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\artist.py:774(get_animated)
      329    0.001    0.000    0.001    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:401(height)
      119    0.001    0.000    0.054    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\backends\_backend_tk.py:351(motion_notify_event)
       70    0.001    0.000    0.001    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\cbook\__init__.py:1679(normalize_kwargs)
      419    0.001    0.000    0.001    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\font_manager.py:1081(<listcomp>)
       16    0.001    0.000    0.020    0.001 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\ticker.py:2019(_raw_ticks)
      208    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
